

Task: shape
Held out from train set:
D-W: 0/5 (0.0) in val
D-X: 0/5 (0.0) in val
D-Z: 0/5 (0.0) in val
G-B: 0/5 (0.0) in val
G-C: 0/5 (0.0) in val
G-D: 0/5 (0.0) in val
G-E: 0/5 (0.0) in val
G-F: 0/5 (0.0) in val
G-H: 0/5 (0.0) in val
G-I: 0/5 (0.0) in val
G-J: 0/5 (0.0) in val
G-K: 0/5 (0.0) in val
G-L: 0/5 (0.0) in val
G-M: 0/5 (0.0) in val
G-O: 0/5 (0.0) in val
G-P: 0/5 (0.0) in val
G-Q: 0/5 (0.0) in val
G-R: 0/5 (0.0) in val
G-S: 0/5 (0.0) in val
G-T: 0/5 (0.0) in val
G-U: 0/5 (0.0) in val
G-V: 0/5 (0.0) in val
G-W: 0/5 (0.0) in val
G-X: 0/5 (0.0) in val
G-Z: 0/5 (0.0) in val
H-B: 0/5 (0.0) in val
H-C: 0/5 (0.0) in val
H-D: 0/5 (0.0) in val
H-E: 0/5 (0.0) in val
H-F: 0/5 (0.0) in val
H-G: 0/5 (0.0) in val
H-I: 0/5 (0.0) in val
H-J: 0/5 (0.0) in val
H-K: 0/5 (0.0) in val
H-L: 0/5 (0.0) in val
H-M: 0/5 (0.0) in val
H-O: 0/5 (0.0) in val
H-P: 0/5 (0.0) in val
H-Q: 0/5 (0.0) in val
H-R: 0/5 (0.0) in val
H-S: 0/5 (0.0) in val
H-T: 0/5 (0.0) in val
H-U: 0/5 (0.0) in val
H-V: 0/5 (0.0) in val
H-W: 0/5 (0.0) in val
H-X: 0/5 (0.0) in val
H-Z: 0/5 (0.0) in val
I-B: 0/5 (0.0) in val
I-C: 0/5 (0.0) in val
I-D: 0/5 (0.0) in val
I-E: 0/5 (0.0) in val
I-F: 0/5 (0.0) in val
I-G: 0/5 (0.0) in val
I-H: 0/5 (0.0) in val
I-J: 0/5 (0.0) in val
I-K: 0/5 (0.0) in val
I-L: 0/5 (0.0) in val
I-M: 0/5 (0.0) in val
I-O: 0/5 (0.0) in val
I-P: 0/5 (0.0) in val
I-Q: 0/5 (0.0) in val
I-R: 0/5 (0.0) in val
I-S: 0/5 (0.0) in val
I-T: 0/5 (0.0) in val
I-U: 0/5 (0.0) in val
I-V: 0/5 (0.0) in val
I-W: 0/5 (0.0) in val
I-X: 0/5 (0.0) in val
I-Z: 0/5 (0.0) in val
J-B: 0/5 (0.0) in val
J-C: 0/5 (0.0) in val
J-D: 0/5 (0.0) in val
J-E: 0/5 (0.0) in val
J-F: 0/5 (0.0) in val
J-G: 0/5 (0.0) in val
J-H: 0/5 (0.0) in val
J-I: 0/5 (0.0) in val
J-K: 0/5 (0.0) in val
J-L: 0/5 (0.0) in val
J-M: 0/5 (0.0) in val
J-O: 0/5 (0.0) in val
J-P: 0/5 (0.0) in val
J-Q: 0/5 (0.0) in val
J-R: 0/5 (0.0) in val
J-S: 0/5 (0.0) in val
J-T: 0/5 (0.0) in val
J-U: 0/5 (0.0) in val
J-V: 0/5 (0.0) in val
J-W: 0/5 (0.0) in val
J-X: 0/5 (0.0) in val
J-Z: 0/5 (0.0) in val
K-B: 0/5 (0.0) in val
K-C: 0/5 (0.0) in val
K-D: 0/5 (0.0) in val
K-E: 0/5 (0.0) in val
K-F: 0/5 (0.0) in val
K-G: 0/5 (0.0) in val
K-H: 0/5 (0.0) in val
K-I: 0/5 (0.0) in val
K-J: 0/5 (0.0) in val
K-L: 0/5 (0.0) in val
K-M: 0/5 (0.0) in val
K-O: 0/5 (0.0) in val
K-P: 0/5 (0.0) in val
K-Q: 0/5 (0.0) in val
K-R: 0/5 (0.0) in val
K-S: 0/5 (0.0) in val
K-T: 0/5 (0.0) in val
K-U: 0/5 (0.0) in val
K-V: 0/5 (0.0) in val
K-W: 0/5 (0.0) in val
K-X: 0/5 (0.0) in val
K-Z: 0/5 (0.0) in val
L-B: 0/5 (0.0) in val
L-C: 0/5 (0.0) in val
L-D: 0/5 (0.0) in val
L-E: 0/5 (0.0) in val
L-F: 0/5 (0.0) in val
L-G: 0/5 (0.0) in val
L-H: 0/5 (0.0) in val
L-I: 0/5 (0.0) in val
L-J: 0/5 (0.0) in val
L-K: 0/5 (0.0) in val
L-M: 0/5 (0.0) in val
L-O: 0/5 (0.0) in val
L-P: 0/5 (0.0) in val
L-Q: 0/5 (0.0) in val
L-R: 0/5 (0.0) in val
L-S: 0/5 (0.0) in val
L-T: 0/5 (0.0) in val
L-U: 0/5 (0.0) in val
L-V: 0/5 (0.0) in val
L-W: 0/5 (0.0) in val
L-X: 0/5 (0.0) in val
L-Z: 0/5 (0.0) in val
N-B: 0/5 (0.0) in val
N-C: 0/5 (0.0) in val
N-D: 0/5 (0.0) in val
N-E: 0/5 (0.0) in val
N-F: 0/5 (0.0) in val
N-G: 0/5 (0.0) in val
N-H: 0/5 (0.0) in val
N-I: 0/5 (0.0) in val
N-J: 0/5 (0.0) in val
N-K: 0/5 (0.0) in val
N-L: 0/5 (0.0) in val
N-M: 0/5 (0.0) in val
N-O: 0/5 (0.0) in val
N-P: 0/5 (0.0) in val
N-Q: 0/5 (0.0) in val
N-R: 0/5 (0.0) in val
N-S: 0/5 (0.0) in val
N-T: 0/5 (0.0) in val
N-U: 0/5 (0.0) in val
N-V: 0/5 (0.0) in val
N-W: 0/5 (0.0) in val
N-X: 0/5 (0.0) in val
N-Z: 0/5 (0.0) in val
O-B: 0/5 (0.0) in val
O-C: 0/5 (0.0) in val
O-D: 0/5 (0.0) in val
O-E: 0/5 (0.0) in val
O-F: 0/5 (0.0) in val
O-G: 0/5 (0.0) in val
O-H: 0/5 (0.0) in val
O-I: 0/5 (0.0) in val
O-J: 0/5 (0.0) in val
O-K: 0/5 (0.0) in val
O-L: 0/5 (0.0) in val
O-M: 0/5 (0.0) in val
O-P: 0/5 (0.0) in val
O-Q: 0/5 (0.0) in val
O-R: 0/5 (0.0) in val
O-S: 0/5 (0.0) in val
O-T: 0/5 (0.0) in val
O-U: 0/5 (0.0) in val
O-V: 0/5 (0.0) in val
O-W: 0/5 (0.0) in val
O-X: 0/5 (0.0) in val
O-Z: 0/5 (0.0) in val
P-B: 0/5 (0.0) in val
P-C: 0/5 (0.0) in val
P-D: 0/5 (0.0) in val
P-E: 0/5 (0.0) in val
P-F: 0/5 (0.0) in val
P-G: 0/5 (0.0) in val
P-H: 0/5 (0.0) in val
P-I: 0/5 (0.0) in val
P-J: 0/5 (0.0) in val
P-K: 0/5 (0.0) in val
P-L: 0/5 (0.0) in val
P-M: 0/5 (0.0) in val
P-O: 0/5 (0.0) in val
P-Q: 0/5 (0.0) in val
P-R: 0/5 (0.0) in val
P-S: 0/5 (0.0) in val
P-T: 0/5 (0.0) in val
P-U: 0/5 (0.0) in val
P-V: 0/5 (0.0) in val
P-W: 0/5 (0.0) in val
P-X: 0/5 (0.0) in val
P-Z: 0/5 (0.0) in val
Q-B: 0/5 (0.0) in val
Q-C: 0/5 (0.0) in val
Q-D: 0/5 (0.0) in val
Q-E: 0/5 (0.0) in val
Q-F: 0/5 (0.0) in val
Q-G: 0/5 (0.0) in val
Q-H: 0/5 (0.0) in val
Q-I: 0/5 (0.0) in val
Q-J: 0/5 (0.0) in val
Q-K: 0/5 (0.0) in val
Q-L: 0/5 (0.0) in val
Q-M: 0/5 (0.0) in val
Q-O: 0/5 (0.0) in val
Q-P: 0/5 (0.0) in val
Q-R: 0/5 (0.0) in val
Q-S: 0/5 (0.0) in val
Q-T: 0/5 (0.0) in val
Q-U: 0/5 (0.0) in val
Q-V: 0/5 (0.0) in val
Q-W: 0/5 (0.0) in val
Q-X: 0/5 (0.0) in val
Q-Z: 0/5 (0.0) in val
R-B: 0/5 (0.0) in val
R-C: 0/5 (0.0) in val
R-D: 0/5 (0.0) in val
R-E: 0/5 (0.0) in val
R-F: 0/5 (0.0) in val
R-G: 0/5 (0.0) in val
R-H: 0/5 (0.0) in val
R-I: 0/5 (0.0) in val
R-J: 0/5 (0.0) in val
R-K: 0/5 (0.0) in val
R-L: 0/5 (0.0) in val
R-M: 0/5 (0.0) in val
R-O: 0/5 (0.0) in val
R-P: 0/5 (0.0) in val
R-Q: 0/5 (0.0) in val
R-S: 0/5 (0.0) in val
R-T: 0/5 (0.0) in val
R-U: 0/5 (0.0) in val
R-V: 0/5 (0.0) in val
R-W: 0/5 (0.0) in val
R-X: 0/5 (0.0) in val
R-Z: 0/5 (0.0) in val
S-B: 0/5 (0.0) in val
S-C: 0/5 (0.0) in val
S-D: 0/5 (0.0) in val
S-E: 0/5 (0.0) in val
S-F: 0/5 (0.0) in val
S-G: 0/5 (0.0) in val
S-H: 0/5 (0.0) in val
S-I: 0/5 (0.0) in val
S-J: 0/5 (0.0) in val
S-K: 0/5 (0.0) in val
S-L: 0/5 (0.0) in val
S-M: 0/5 (0.0) in val
S-O: 0/5 (0.0) in val
S-P: 0/5 (0.0) in val
S-Q: 0/5 (0.0) in val
S-R: 0/5 (0.0) in val
S-T: 0/5 (0.0) in val
S-U: 0/5 (0.0) in val
S-V: 0/5 (0.0) in val
S-W: 0/5 (0.0) in val
S-X: 0/5 (0.0) in val
S-Z: 0/5 (0.0) in val
T-B: 0/5 (0.0) in val
T-C: 0/5 (0.0) in val
T-D: 0/5 (0.0) in val
T-E: 0/5 (0.0) in val
T-F: 0/5 (0.0) in val
T-G: 0/5 (0.0) in val
T-H: 0/5 (0.0) in val
T-I: 0/5 (0.0) in val
T-J: 0/5 (0.0) in val
T-K: 0/5 (0.0) in val
T-L: 0/5 (0.0) in val
T-M: 0/5 (0.0) in val
T-O: 0/5 (0.0) in val
T-P: 0/5 (0.0) in val
T-Q: 0/5 (0.0) in val
T-R: 0/5 (0.0) in val
T-S: 0/5 (0.0) in val
T-U: 0/5 (0.0) in val
T-V: 0/5 (0.0) in val
T-W: 0/5 (0.0) in val
T-X: 0/5 (0.0) in val
T-Z: 0/5 (0.0) in val
U-B: 0/5 (0.0) in val
U-C: 0/5 (0.0) in val
U-D: 0/5 (0.0) in val
U-E: 0/5 (0.0) in val
U-F: 0/5 (0.0) in val
U-G: 0/5 (0.0) in val
U-H: 0/5 (0.0) in val
U-I: 0/5 (0.0) in val
U-J: 0/5 (0.0) in val
U-K: 0/5 (0.0) in val
U-L: 0/5 (0.0) in val
U-M: 0/5 (0.0) in val
U-O: 0/5 (0.0) in val
U-P: 0/5 (0.0) in val
U-Q: 0/5 (0.0) in val
U-R: 0/5 (0.0) in val
U-S: 0/5 (0.0) in val
U-T: 0/5 (0.0) in val
U-V: 0/5 (0.0) in val
U-W: 0/5 (0.0) in val
U-X: 0/5 (0.0) in val
U-Z: 0/5 (0.0) in val
V-B: 0/5 (0.0) in val
V-C: 0/5 (0.0) in val
V-D: 0/5 (0.0) in val
V-E: 0/5 (0.0) in val
V-F: 0/5 (0.0) in val
V-G: 0/5 (0.0) in val
V-H: 0/5 (0.0) in val
V-I: 0/5 (0.0) in val
V-J: 0/5 (0.0) in val
V-K: 0/5 (0.0) in val
V-L: 0/5 (0.0) in val
V-M: 0/5 (0.0) in val
V-O: 0/5 (0.0) in val
V-P: 0/5 (0.0) in val
V-Q: 0/5 (0.0) in val
V-R: 0/5 (0.0) in val
V-S: 0/5 (0.0) in val
V-T: 0/5 (0.0) in val
V-U: 0/5 (0.0) in val
V-W: 0/5 (0.0) in val
V-X: 0/5 (0.0) in val
V-Z: 0/5 (0.0) in val
W-B: 0/5 (0.0) in val
W-C: 0/5 (0.0) in val
W-D: 0/5 (0.0) in val
W-E: 0/5 (0.0) in val
W-F: 0/5 (0.0) in val
W-G: 0/5 (0.0) in val
W-H: 0/5 (0.0) in val
W-I: 0/5 (0.0) in val
W-J: 0/5 (0.0) in val
W-K: 0/5 (0.0) in val
W-L: 0/5 (0.0) in val
W-M: 0/5 (0.0) in val
W-O: 0/5 (0.0) in val
W-P: 0/5 (0.0) in val
W-Q: 0/5 (0.0) in val
W-R: 0/5 (0.0) in val
W-S: 0/5 (0.0) in val
W-T: 0/5 (0.0) in val
W-U: 0/5 (0.0) in val
W-V: 0/5 (0.0) in val
W-X: 0/5 (0.0) in val
W-Z: 0/5 (0.0) in val
X-B: 0/5 (0.0) in val
X-C: 0/5 (0.0) in val
X-D: 0/5 (0.0) in val
X-E: 0/5 (0.0) in val
X-F: 0/5 (0.0) in val
X-G: 0/5 (0.0) in val
X-H: 0/5 (0.0) in val
X-I: 0/5 (0.0) in val
X-J: 0/5 (0.0) in val
X-K: 0/5 (0.0) in val
X-L: 0/5 (0.0) in val
X-M: 0/5 (0.0) in val
X-O: 0/5 (0.0) in val
X-P: 0/5 (0.0) in val
X-Q: 0/5 (0.0) in val
X-R: 0/5 (0.0) in val
X-S: 0/5 (0.0) in val
X-T: 0/5 (0.0) in val
X-U: 0/5 (0.0) in val
X-V: 0/5 (0.0) in val
X-W: 0/5 (0.0) in val
X-Z: 0/5 (0.0) in val
Y-B: 0/5 (0.0) in val
Y-C: 0/5 (0.0) in val
Y-D: 0/5 (0.0) in val
Y-E: 0/5 (0.0) in val
Y-F: 0/5 (0.0) in val
Y-G: 0/5 (0.0) in val
Y-H: 0/5 (0.0) in val
Y-I: 0/5 (0.0) in val
Y-J: 0/5 (0.0) in val
Y-K: 0/5 (0.0) in val
Y-L: 0/5 (0.0) in val
Y-M: 0/5 (0.0) in val
Y-O: 0/5 (0.0) in val
Y-P: 0/5 (0.0) in val
Y-Q: 0/5 (0.0) in val
Y-R: 0/5 (0.0) in val
Y-S: 0/5 (0.0) in val
Y-T: 0/5 (0.0) in val
Y-U: 0/5 (0.0) in val
Y-V: 0/5 (0.0) in val
Y-W: 0/5 (0.0) in val
Y-X: 0/5 (0.0) in val
Y-Z: 0/5 (0.0) in val
Z-B: 0/5 (0.0) in val
Z-C: 0/5 (0.0) in val
Z-D: 0/5 (0.0) in val
Z-E: 0/5 (0.0) in val
Z-F: 0/5 (0.0) in val
Z-G: 0/5 (0.0) in val
Z-H: 0/5 (0.0) in val
Z-I: 0/5 (0.0) in val
Z-J: 0/5 (0.0) in val
Z-K: 0/5 (0.0) in val
Z-L: 0/5 (0.0) in val
Z-M: 0/5 (0.0) in val
Z-O: 0/5 (0.0) in val
Z-P: 0/5 (0.0) in val
Z-Q: 0/5 (0.0) in val
Z-R: 0/5 (0.0) in val
Z-S: 0/5 (0.0) in val
Z-T: 0/5 (0.0) in val
Z-U: 0/5 (0.0) in val
Z-V: 0/5 (0.0) in val
Z-W: 0/5 (0.0) in val
Z-X: 0/5 (0.0) in val

66/575 (0.115) pairings appear in validation set
509/575 (0.885) pairings appear in train set

What ends up held out:
Heldout shapes: set()
Heldout shape classes not in orig target holdouts: set()
Heldout textures: {'N', 'A', 'Y'}
Heldout texture classes not in orig target holdouts: set()

Dataset size:
Validation size = 330/2875 (0.115)

Train size = 2545/2875
