

Task: shape
Held out from train set:
L-I: 0/5 (0.0) in val
L-J: 0/5 (0.0) in val
L-K: 0/5 (0.0) in val
L-M: 0/5 (0.0) in val
L-N: 0/5 (0.0) in val
L-O: 0/5 (0.0) in val
L-P: 0/5 (0.0) in val
L-Q: 0/5 (0.0) in val
L-R: 0/5 (0.0) in val
L-S: 0/5 (0.0) in val
L-T: 0/5 (0.0) in val
L-U: 0/5 (0.0) in val
L-X: 0/5 (0.0) in val
L-Z: 0/5 (0.0) in val
M-A: 0/5 (0.0) in val
M-B: 0/5 (0.0) in val
M-C: 0/5 (0.0) in val
M-D: 0/5 (0.0) in val
M-E: 0/5 (0.0) in val
M-F: 0/5 (0.0) in val
M-G: 0/5 (0.0) in val
M-H: 0/5 (0.0) in val
M-I: 0/5 (0.0) in val
M-J: 0/5 (0.0) in val
M-K: 0/5 (0.0) in val
M-L: 0/5 (0.0) in val
M-N: 0/5 (0.0) in val
M-O: 0/5 (0.0) in val
M-P: 0/5 (0.0) in val
M-Q: 0/5 (0.0) in val
M-R: 0/5 (0.0) in val
M-S: 0/5 (0.0) in val
M-T: 0/5 (0.0) in val
M-U: 0/5 (0.0) in val
M-X: 0/5 (0.0) in val
M-Z: 0/5 (0.0) in val
N-A: 0/5 (0.0) in val
N-B: 0/5 (0.0) in val
N-C: 0/5 (0.0) in val
N-D: 0/5 (0.0) in val
N-E: 0/5 (0.0) in val
N-F: 0/5 (0.0) in val
N-G: 0/5 (0.0) in val
N-H: 0/5 (0.0) in val
N-I: 0/5 (0.0) in val
N-J: 0/5 (0.0) in val
N-K: 0/5 (0.0) in val
N-L: 0/5 (0.0) in val
N-M: 0/5 (0.0) in val
N-O: 0/5 (0.0) in val
N-P: 0/5 (0.0) in val
N-Q: 0/5 (0.0) in val
N-R: 0/5 (0.0) in val
N-S: 0/5 (0.0) in val
N-T: 0/5 (0.0) in val
N-U: 0/5 (0.0) in val
N-X: 0/5 (0.0) in val
N-Z: 0/5 (0.0) in val
P-A: 0/5 (0.0) in val
P-B: 0/5 (0.0) in val
P-C: 0/5 (0.0) in val
P-D: 0/5 (0.0) in val
P-E: 0/5 (0.0) in val
P-F: 0/5 (0.0) in val
P-G: 0/5 (0.0) in val
P-H: 0/5 (0.0) in val
P-I: 0/5 (0.0) in val
P-J: 0/5 (0.0) in val
P-K: 0/5 (0.0) in val
P-L: 0/5 (0.0) in val
P-M: 0/5 (0.0) in val
P-N: 0/5 (0.0) in val
P-O: 0/5 (0.0) in val
P-Q: 0/5 (0.0) in val
P-R: 0/5 (0.0) in val
P-S: 0/5 (0.0) in val
P-T: 0/5 (0.0) in val
P-U: 0/5 (0.0) in val
P-X: 0/5 (0.0) in val
P-Z: 0/5 (0.0) in val
Q-A: 0/5 (0.0) in val
Q-B: 0/5 (0.0) in val
Q-C: 0/5 (0.0) in val
Q-D: 0/5 (0.0) in val
Q-E: 0/5 (0.0) in val
Q-F: 0/5 (0.0) in val
Q-G: 0/5 (0.0) in val
Q-H: 0/5 (0.0) in val
Q-I: 0/5 (0.0) in val
Q-J: 0/5 (0.0) in val
Q-K: 0/5 (0.0) in val
Q-L: 0/5 (0.0) in val
Q-M: 0/5 (0.0) in val
Q-N: 0/5 (0.0) in val
Q-O: 0/5 (0.0) in val
Q-P: 0/5 (0.0) in val
Q-R: 0/5 (0.0) in val
Q-S: 0/5 (0.0) in val
Q-T: 0/5 (0.0) in val
Q-U: 0/5 (0.0) in val
Q-X: 0/5 (0.0) in val
Q-Z: 0/5 (0.0) in val
R-A: 0/5 (0.0) in val
R-B: 0/5 (0.0) in val
R-C: 0/5 (0.0) in val
R-D: 0/5 (0.0) in val
R-E: 0/5 (0.0) in val
R-F: 0/5 (0.0) in val
R-G: 0/5 (0.0) in val
R-H: 0/5 (0.0) in val
R-I: 0/5 (0.0) in val
R-J: 0/5 (0.0) in val
R-K: 0/5 (0.0) in val
R-L: 0/5 (0.0) in val
R-M: 0/5 (0.0) in val
R-N: 0/5 (0.0) in val
R-O: 0/5 (0.0) in val
R-P: 0/5 (0.0) in val
R-Q: 0/5 (0.0) in val
R-S: 0/5 (0.0) in val
R-T: 0/5 (0.0) in val
R-U: 0/5 (0.0) in val
R-X: 0/5 (0.0) in val
R-Z: 0/5 (0.0) in val
S-A: 0/5 (0.0) in val
S-B: 0/5 (0.0) in val
S-C: 0/5 (0.0) in val
S-D: 0/5 (0.0) in val
S-E: 0/5 (0.0) in val
S-F: 0/5 (0.0) in val
S-G: 0/5 (0.0) in val
S-H: 0/5 (0.0) in val
S-I: 0/5 (0.0) in val
S-J: 0/5 (0.0) in val
S-K: 0/5 (0.0) in val
S-L: 0/5 (0.0) in val
S-M: 0/5 (0.0) in val
S-N: 0/5 (0.0) in val
S-O: 0/5 (0.0) in val
S-P: 0/5 (0.0) in val
S-Q: 0/5 (0.0) in val
S-R: 0/5 (0.0) in val
S-T: 0/5 (0.0) in val
S-U: 0/5 (0.0) in val
S-X: 0/5 (0.0) in val
S-Z: 0/5 (0.0) in val
T-A: 0/5 (0.0) in val
T-B: 0/5 (0.0) in val
T-C: 0/5 (0.0) in val
T-D: 0/5 (0.0) in val
T-E: 0/5 (0.0) in val
T-F: 0/5 (0.0) in val
T-G: 0/5 (0.0) in val
T-H: 0/5 (0.0) in val
T-I: 0/5 (0.0) in val
T-J: 0/5 (0.0) in val
T-K: 0/5 (0.0) in val
T-L: 0/5 (0.0) in val
T-M: 0/5 (0.0) in val
T-N: 0/5 (0.0) in val
T-O: 0/5 (0.0) in val
T-P: 0/5 (0.0) in val
T-Q: 0/5 (0.0) in val
T-R: 0/5 (0.0) in val
T-S: 0/5 (0.0) in val
T-U: 0/5 (0.0) in val
T-X: 0/5 (0.0) in val
T-Z: 0/5 (0.0) in val
V-A: 0/5 (0.0) in val
V-B: 0/5 (0.0) in val
V-C: 0/5 (0.0) in val
V-D: 0/5 (0.0) in val
V-E: 0/5 (0.0) in val
V-F: 0/5 (0.0) in val
V-G: 0/5 (0.0) in val
V-H: 0/5 (0.0) in val
V-I: 0/5 (0.0) in val
V-J: 0/5 (0.0) in val
V-K: 0/5 (0.0) in val
V-L: 0/5 (0.0) in val
V-M: 0/5 (0.0) in val
V-N: 0/5 (0.0) in val
V-O: 0/5 (0.0) in val
V-P: 0/5 (0.0) in val
V-Q: 0/5 (0.0) in val
V-R: 0/5 (0.0) in val
V-S: 0/5 (0.0) in val
V-T: 0/5 (0.0) in val
V-U: 0/5 (0.0) in val
V-X: 0/5 (0.0) in val
V-Z: 0/5 (0.0) in val
W-A: 0/5 (0.0) in val
W-B: 0/5 (0.0) in val
W-C: 0/5 (0.0) in val
W-D: 0/5 (0.0) in val
W-E: 0/5 (0.0) in val
W-F: 0/5 (0.0) in val
W-G: 0/5 (0.0) in val
W-H: 0/5 (0.0) in val
W-I: 0/5 (0.0) in val
W-J: 0/5 (0.0) in val
W-K: 0/5 (0.0) in val
W-L: 0/5 (0.0) in val
W-M: 0/5 (0.0) in val
W-N: 0/5 (0.0) in val
W-O: 0/5 (0.0) in val
W-P: 0/5 (0.0) in val
W-Q: 0/5 (0.0) in val
W-R: 0/5 (0.0) in val
W-S: 0/5 (0.0) in val
W-T: 0/5 (0.0) in val
W-U: 0/5 (0.0) in val
W-X: 0/5 (0.0) in val
W-Z: 0/5 (0.0) in val
X-A: 0/5 (0.0) in val
X-B: 0/5 (0.0) in val
X-C: 0/5 (0.0) in val
X-D: 0/5 (0.0) in val
X-E: 0/5 (0.0) in val
X-F: 0/5 (0.0) in val
X-G: 0/5 (0.0) in val
X-H: 0/5 (0.0) in val
X-I: 0/5 (0.0) in val
X-J: 0/5 (0.0) in val
X-K: 0/5 (0.0) in val
X-L: 0/5 (0.0) in val
X-M: 0/5 (0.0) in val
X-N: 0/5 (0.0) in val
X-O: 0/5 (0.0) in val
X-P: 0/5 (0.0) in val
X-Q: 0/5 (0.0) in val
X-R: 0/5 (0.0) in val
X-S: 0/5 (0.0) in val
X-T: 0/5 (0.0) in val
X-U: 0/5 (0.0) in val
X-Z: 0/5 (0.0) in val
Y-A: 0/5 (0.0) in val
Y-B: 0/5 (0.0) in val
Y-C: 0/5 (0.0) in val
Y-D: 0/5 (0.0) in val
Y-E: 0/5 (0.0) in val
Y-F: 0/5 (0.0) in val
Y-G: 0/5 (0.0) in val
Y-H: 0/5 (0.0) in val
Y-I: 0/5 (0.0) in val
Y-J: 0/5 (0.0) in val
Y-K: 0/5 (0.0) in val
Y-L: 0/5 (0.0) in val
Y-M: 0/5 (0.0) in val
Y-N: 0/5 (0.0) in val
Y-O: 0/5 (0.0) in val
Y-P: 0/5 (0.0) in val
Y-Q: 0/5 (0.0) in val
Y-R: 0/5 (0.0) in val
Y-S: 0/5 (0.0) in val
Y-T: 0/5 (0.0) in val
Y-U: 0/5 (0.0) in val
Y-X: 0/5 (0.0) in val
Y-Z: 0/5 (0.0) in val

66/575 (0.115) pairings appear in validation set
509/575 (0.885) pairings appear in train set

What ends up held out:
Heldout shapes: set()
Heldout shape classes not in orig target holdouts: set()
Heldout textures: {'W', 'V', 'Y'}
Heldout texture classes not in orig target holdouts: set()

Dataset size:
Validation size = 330/2875 (0.115)

Train size = 2545/2875
